gap_year,location,living,gender,race,pre_o,sports,best,p1_meet,p1_closeness,p2_meet,p2_closeness,p3_meet,p3_closeness,p4_meet,p4_closeness,contact,group_size,in_person,satisfaction,fourth_id,first_id,id,third_id,second_id,most_connected
Yes,At Home (international student),Not Applicable,Female,Other,FIP: First-Year International Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,Friend of a friend,4,Breakout room of a class,3,Friend of a friend,3,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Dissatisfied,649,112,86,617,50,318
No,The Quad,Suitemates,Female,Asian,FUP: First-Year Urban Program,No,"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,5,"In-person (The courtyard, the line at the dining hall, etc.)",4,Pre-orientation program,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,A restaurant in the area,Neutral,302,581,89,481,844,289
No,A River House,Suitemates,Female,Asian,None,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",5,"Living in close proximity (same floor, same house/dorm, etc.)",5,Club/co-curricular activity,4,Already knew them before coming to Harvard,5,Shared club/co-curricular activity,0,Indoor gatherings,Neutral,660,1019,90,36,645,1068
No,A River House,Suitemates,Female,Other,FOP: First-Year Outdoor Program,Yes (Club),Club/co-curricular activity,Club/co-curricular activity,4,Club/co-curricular activity,4,Roommate/Suitemate,5,Friend of a friend,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",5,Indoor gatherings,Satisfied,872,1070,92,1009,951,466
No,The Yard,Suitemates,Female,White,FOP: First-Year Outdoor Program,Yes (Intramural),"Living in close proximity (same floor, same house, etc.)",Pre-orientation program,4,Friend of a friend,4,Friend of a friend,4,Friend of a friend,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,A restaurant in the area,Dissatisfied,742,468,93,923,315,257
No,A River House,Suitemates,Female,White,None,No,Friend of a friend,Roommate/Suitemate,4,Roommate/Suitemate,3,Club/co-curricular activity,5,Club/co-curricular activity,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",4,Exploring the area,Satisfied,940,206,97,732,487,630
Yes,A River House,Suitemates,Female,White,None,Yes (Club),Friend of a friend,Already knew them before coming to Harvard,4,"Living in close proximity (same floor, same house/dorm, etc.)",3,Friend of a friend,2,"Social media (GroupMe, Instagram, Discord, etc.)",2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,A restaurant in the area,Dissatisfied,884,643,102,423,312,1041
No,The Yard,Suitemates,Female,White,None,Yes (Varsity),Already knew them before coming to Harvard,"In-person (The courtyard, the line at the dining hall, etc.)",3,"In-person (The courtyard, the line at the dining hall, etc.)",3,"In-person (The courtyard, the line at the dining hall, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",4,The Yard,Neutral,289,289,106,289,289,289
No,At Home (in the US),Not Applicable,Female,Other,None,Yes (Varsity),"Social media (GroupMe, Instagram, Discord, etc.)",Friend of a friend,4,Club/co-curricular activity,4,"Social media (GroupMe, Instagram, Discord, etc.)",3,Club/co-curricular activity,3,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Neutral,66,701,107,213,986,360
Yes,A River House,Suitemates,Male,Asian,FOP: First-Year Outdoor Program,No,"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",5,"Living in close proximity (same floor, same house/dorm, etc.)",4,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,4,Hang out in room/suite,1,Indoor gatherings,Satisfied,357,1029,117,576,437,800
No,A River House,Suitemates,Female,Asian,LIFE: Leadership Institute for the First-Year Experience,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,"Social media (GroupMe, Instagram, Discord, etc.)",2,"Living in close proximity (same floor, same house/dorm, etc.)",2,Friend of a friend,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",20,Indoor gatherings,Dissatisfied,466,109,118,485,815,814
No,The Yard,Suitemates,Female,Asian,None,No,Already knew them before coming to Harvard,Roommate/Suitemate,3,Friend of a friend,4,Otherly met playing volleyball in the Yard,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",5,Exploring the area,Satisfied,124,1042,121,841,190,81
Yes,A River House,Suitemates,Male,White,FOP: First-Year Outdoor Program,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)",Club/co-curricular activity,3,Club/co-curricular activity,3,Club/co-curricular activity,3,Club/co-curricular activity,3,Shared club/co-curricular activity,0,A restaurant in the area,Dissatisfied,824,266,127,457,256,256
Yes,At Home (international student),Not Applicable,Female,White,None,No,Friend of a friend,"Social media (GroupMe, Instagram, Discord, etc.)",3,Friend of a friend,2,Breakout room of a class,2,"NA",1,Shared class,0,Not Applicable,Very Dissatisfied,289,620,128,289,750,289
No,The Yard,Suitemates,Female,Asian,FOP: First-Year Outdoor Program,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,5,Already knew them before coming to Harvard,5,Breakout room of a class,4,Club/co-curricular activity,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,A restaurant in the area,Neutral,194,634,130,707,1010,872
No,The Quad,Suitemates,Female,Asian,FOP: First-Year Outdoor Program,No,Roommate/Suitemate,Roommate/Suitemate,3,Pre-orientation program,3,Breakout room of a class,3,Friend of a friend,2,Shared class,2,The courtyard of your house/dorm,Dissatisfied,1015,1059,131,1034,424,955
No,The Yard,Suitemates,Male,Other,None,No,Friend of a friend,"Social media (GroupMe, Instagram, Discord, etc.)",5,Friend of a friend,4,"Social media (GroupMe, Instagram, Discord, etc.)",3,"Social media (GroupMe, Instagram, Discord, etc.)",2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",14,Exploring the area,Satisfied,177,533,133,206,888,466
No,At Home (international student),Not Applicable,Female,White,FOP: First-Year Outdoor Program,No,Roommate/Suitemate,Zoom lecture,2,Zoom lecture,2,Meet24,2,Breakout room of a class,2,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Very Dissatisfied,164,535,140,421,646,73
No,A River House,Single,Male,Hispanic or Latino,LIFE: Leadership Institute for the First-Year Experience,Yes (Club),"Living in close proximity (same floor, same house, etc.)",Friend of a friend,3,Friend of a friend,3,"Living in close proximity (same floor, same house/dorm, etc.)",3,Friend of a friend,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",3,Exploring the area,Satisfied,438,753,147,159,365,644
No,The Yard,Suitemates,Male,Asian,FYRE: First-Year Retreat and Experience,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,5,"Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,The Yard,Dissatisfied,1065,190,151,129,523,1032
No,A River House,Suitemates,Female,American Indian or Alaska Native,FAP: First-Year Arts Program,No,Roommate/Suitemate,Roommate/Suitemate,5,Roommate/Suitemate,5,Meet24,1,Already knew them before coming to Harvard,2,Hang out in room/suite,0,Exploring the area,Dissatisfied,289,473,153,289,328,8
No,A River House,Single,Female,White,FOP: First-Year Outdoor Program,No,Club/co-curricular activity,Breakout room of a class,3,Virtual entryway,3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",6,The courtyard of your house/dorm,Neutral,158,1048,155,543,653,645
No,A River House,Suitemates,Female,White,FOP: First-Year Outdoor Program,No,"Living in close proximity (same floor, same house, etc.)",Roommate/Suitemate,3,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The courtyard of your house/dorm,Satisfied,444,367,156,791,803,802
No,At Home (in the US),Not Applicable,Female,Asian,FOP: First-Year Outdoor Program,No,Roommate/Suitemate,Breakout room of a class,2,Club/co-curricular activity,2,Breakout room of a class,1,"Social media (GroupMe, Instagram, Discord, etc.)",2,Virtual study group,0,Not Applicable,Dissatisfied,115,584,161,534,322,1005
No,A River House,Suitemates,Female,Other,None,No,"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,Friend of a friend,4,Friend of a friend,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The courtyard of your house/dorm,Very Dissatisfied,947,404,167,105,806,945
No,At Home (in the US),Not Applicable,Prefer not to say,White,None,Yes (Varsity),Roommate/Suitemate,Club/co-curricular activity,4,Club/co-curricular activity,4,Roommate/Suitemate,4,Club/co-curricular activity,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,A restaurant in the area,Neutral,289,289,168,919,289,168
No,A River House,Suitemates,Male,White,FYRE: First-Year Retreat and Experience,No,Pre-orientation program,Roommate/Suitemate,2,Pre-orientation program,2,Zoom lecture,3,Zoom lecture,2,"Social media (GroupMe, Instagram, Discord, texting, etc.)",4,The Square,Neutral,221,975,170,148,578,815
No,A River House,Single,Male,White,LIFE: Leadership Institute for the First-Year Experience,No,"Living in close proximity (same floor, same house, etc.)","Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,Exploring the area,Satisfied,446,554,184,48,1004,79
Yes,A River House,Suitemates,Male,White,None,No,Already knew them before coming to Harvard,"Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",4,Friend of a friend,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,The courtyard of your house/dorm,Very Satisfied,965,748,185,264,674,289
No,A River House,Suitemates,Male,Black or African American,None,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,3,Roommate/Suitemate,4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,Exploring the area,Dissatisfied,301,408,191,55,597,289
No,The Yard,Suitemates,Female,Black or African American,FOP: First-Year Outdoor Program,No,Already knew them before coming to Harvard,Zoom lecture,3,Zoom lecture,1,"Living in close proximity (same floor, same house/dorm, etc.)",1,"Living in close proximity (same floor, same house/dorm, etc.)",2,Shared class,2,The courtyard of your house/dorm,Very Dissatisfied,289,289,192,458,488,381
No,A River House,Suitemates,Female,White,FYRE: First-Year Retreat and Experience,No,"Living in close proximity (same floor, same house, etc.)",Roommate/Suitemate,4,Virtual entryway,4,Virtual entryway,3,Virtual entryway,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,Not Applicable,Dissatisfied,268,957,198,665,953,1005
Yes,The Yard,Suitemates,Female,White,FOP: First-Year Outdoor Program,No,Friend of a friend,Friend of a friend,5,Friend of a friend,3,Friend of a friend,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The River,Neutral,638,1041,202,423,990,559
Yes,A River House,Suitemates,Female,White,None,No,Roommate/Suitemate,Friend of a friend,5,"Social media (GroupMe, Instagram, Discord, etc.)",5,"Social media (GroupMe, Instagram, Discord, etc.)",5,Club/co-curricular activity,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",15,The River,Satisfied,249,71,203,840,971,574
No,The Yard,Suitemates,Male,White,None,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)",Club/co-curricular activity,5,Club/co-curricular activity,4,Roommate/Suitemate,4,Roommate/Suitemate,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",5,The Square,Satisfied,1003,433,214,912,520,289
No,A River House,Suitemates,Female,Other,FYRE: First-Year Retreat and Experience,No,"Social media (GroupMe, Instagram, Discord, etc.)",Roommate/Suitemate,4,Pre-orientation program,3,"Social media (GroupMe, Instagram, Discord, etc.)",3,"Social media (GroupMe, Instagram, Discord, etc.)",3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",28,Exploring the area,Very Dissatisfied,565,1069,215,74,697,645
No,At Home (international student),Not Applicable,Male,Hispanic or Latino,FIP: First-Year International Program,No,Breakout room of a class,Pre-orientation program,1,Pre-orientation program,1,Breakout room of a class,1,Breakout room of a class,1,"Social media (GroupMe, Instagram, Discord, texting, etc.)",0,Not Applicable,Very Dissatisfied,889,51,217,622,366,289
Yes,Off-campus in the Cambridge area,Not Applicable,Female,White,None,No,Friend of a friend,Already knew them before coming to Harvard,3,Friend of a friend,3,Roommate/Suitemate,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",5,Indoor gatherings,Very Dissatisfied,378,664,218,401,478,289
No,A River House,Single,Male,White,FOP: First-Year Outdoor Program,Yes (Club),"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,5,"In-person (The courtyard, the line at the dining hall, etc.)",5,Friend of a friend,4,"In-person (The courtyard, the line at the dining hall, etc.)",5,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,Indoor gatherings,Very Satisfied,409,248,224,823,910,248
No,A River House,Suitemates,Male,Asian,None,No,"Living in close proximity (same floor, same house, etc.)",Other,5,Friend of a friend,5,Friend of a friend,4,Friend of a friend,5,Virtual study group,15,Exploring the area,Satisfied,774,800,229,914,323,800
No,The Yard,Suitemates,Female,Black or African American,LIFE: Leadership Institute for the First-Year Experience,Yes (Club),Club/co-curricular activity,Club/co-curricular activity,3,Club/co-curricular activity,3,"NA",1,Zoom lecture,1,Shared class,5,Exploring the area,Satisfied,289,504,230,289,542,318
No,The Yard,Suitemates,Female,White,FUP: First-Year Urban Program,No,Already knew them before coming to Harvard,Friend of a friend,4,Friend of a friend,3,Roommate/Suitemate,3,Friend of a friend,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",1,The Square,Very Dissatisfied,199,479,233,403,609,242
No,A River House,Suitemates,Female,White,FOP: First-Year Outdoor Program,No,Friend of a friend,"Social media (GroupMe, Instagram, Discord, etc.)",4,"Social media (GroupMe, Instagram, Discord, etc.)",4,"Living in close proximity (same floor, same house/dorm, etc.)",3,Roommate/Suitemate,2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",10,A restaurant in the area,Satisfied,977,586,234,796,741,318
Yes,A River House,Single,Female,Other,None,No,Roommate/Suitemate,Zoom lecture,4,Zoom lecture,4,Virtual entryway,3,Club/co-curricular activity,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",11,The Square,Neutral,560,939,235,1069,592,318
No,A River House,Single,Female,Other,None,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)",Already knew them before coming to Harvard,5,"In-person (The courtyard, the line at the dining hall, etc.)",5,Friend of a friend,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",4,The Yard,Satisfied,289,289,236,289,289,76
No,The Yard,Suitemates,Male,White,None,Yes (Varsity),Club/co-curricular activity,"Social media (GroupMe, Instagram, Discord, etc.)",4,Club/co-curricular activity,4,Club/co-curricular activity,4,Friend of a friend,3,Hang out in room/suite,2,Indoor gatherings,Neutral,577,456,238,1062,916,719
Yes,The Yard,Single,Female,White,None,No,Roommate/Suitemate,Friend of a friend,3,"Living in close proximity (same floor, same house/dorm, etc.)",3,"Living in close proximity (same floor, same house/dorm, etc.)",3,Already knew them before coming to Harvard,3,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,A restaurant in the area,Dissatisfied,932,203,249,726,531,450
No,At Home (in the US),Not Applicable,Male,Asian,None,No,Already knew them before coming to Harvard,Already knew them before coming to Harvard,4,Already knew them before coming to Harvard,3,Already knew them before coming to Harvard,3,Friend of a friend,3,Shared class,0,Not Applicable,Satisfied,276,711,250,634,624,318
No,A River House,Suitemates,Female,Asian,FAP: First-Year Arts Program,No,Roommate/Suitemate,Roommate/Suitemate,5,Roommate/Suitemate,4,Friend of a friend,4,Friend of a friend,4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",8,The Yard,Neutral,999,1087,253,972,300,1068
No,Union Dorm,Single,Female,Other,LIFE: Leadership Institute for the First-Year Experience,Yes (Varsity),"Living in close proximity (same floor, same house, etc.)",Roommate/Suitemate,5,Friend of a friend,5,Club/co-curricular activity,4,"In-person (The courtyard, the line at the dining hall, etc.)",4,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",0,The Yard,Satisfied,832,1076,254,474,347,348
No,The Quad,Suitemates,Female,White,None,No,Roommate/Suitemate,Roommate/Suitemate,3,Roommate/Suitemate,2,"Living in close proximity (same floor, same house/dorm, etc.)",2,"Living in close proximity (same floor, same house/dorm, etc.)",2,"In-person (Getting food together, study group, exploring Cambridge together, etc.)",2,The Yard,Dissatisfied,857,491,261,958,798,940
